agerange,age,browser,category,device,gender,language,latitude,longitude,nav,os,role,city,region,user,pageviewtime,date,item,navigation
Middle,55,Chrome,,WindowsPC,female,english,,,,Windows,provider,Ottawa,Ontario,,27.292,20200419,Physical Activity,body
Middle,55,Chrome,,WindowsPC,female,english,,,,Windows,provider,Ottawa,Ontario,,24.857,20200419,Sun Exposure,body
Middle,55,Chrome,,WindowsPC,female,english,,,,Windows,provider,Ottawa,Ontario,,85.055,20200419,Sexual Organs,body
Middle,55,Chrome,,WindowsPC,female,english,,,,Windows,provider,Ottawa,Ontario,,3.604,20200419,Falls,body
Middle,55,Chrome,,WindowsPC,female,english,,,,Windows,provider,Ottawa,Ontario,,10.188,20200419,Sexual Organs,body
Middle,55,Chrome,,WindowsPC,female,english,,,,Windows,provider,Ottawa,Ontario,,49.168,20200419,Immunization,body
Middle,55,Chrome,,WindowsPC,female,english,,,,Windows,provider,Ottawa,Ontario,,16.804,20200419,Heart,body
Middle,55,Chrome,,WindowsPC,female,english,,,,Windows,provider,Ottawa,Ontario,,0.844,20200419,Heart,body
Middle,55,Chrome,,WindowsPC,female,english,,,,Windows,provider,Ottawa,Ontario,,2.468,20200419,Lungs,body
Middle,55,Chrome,,WindowsPC,female,english,,,,Windows,provider,Ottawa,Ontario,,13.996,20200419,Lungs,body
Middle,55,Chrome,,WindowsPC,female,english,,,,Windows,provider,Ottawa,Ontario,,41.112,20200419,Breast,body
Middle,55,Chrome,,WindowsPC,female,english,,,,Windows,provider,Ottawa,Ontario,,4.611,20200419,Aorta,body
Middle,55,Chrome,,WindowsPC,female,english,,,,Windows,provider,Ottawa,Ontario,,4.861,20200419,Stomach,body
Middle,55,Chrome,,WindowsPC,female,english,,,,Windows,provider,Ottawa,Ontario,,12.584,20200419,Liver,body
Middle,55,Chrome,,WindowsPC,female,english,,,,Windows,provider,Ottawa,Ontario,,29.663,20200419,Pancreas,body
Middle,55,Chrome,,WindowsPC,female,english,,,,Windows,provider,Ottawa,Ontario,,33.12,20200419,Uterus,body
Middle,55,Chrome,,WindowsPC,female,english,,,,Windows,provider,Ottawa,Ontario,,153.3056487,20200419,Bowel,body
Middle,55,Chrome,,WindowsPC,male,english,,,,Windows,provider,Ottawa,Ontario,null,19.601,20200419,Sexual Organs,body
Middle,55,Chrome,,WindowsPC,male,english,,,,Windows,provider,Ottawa,Ontario,null,4.456,20200419,Heart,body
Senior,70,Chrome,,WindowsPC,male,english,,,,Windows,provider,Ottawa,Ontario,null,13.356,20200419,Aorta,body
Senior,70,Chrome,,WindowsPC,male,english,,,,Windows,provider,Ottawa,Ontario,null,6.408,20200419,Heart,body
Senior,70,Chrome,,WindowsPC,male,english,,,,Windows,provider,Ottawa,Ontario,null,41.732,20200419,Aorta,body
Senior,70,Chrome,,WindowsPC,male,english,,,,Windows,provider,Ottawa,Ontario,null,4.968,20200419,Physical Exam,body
Senior,70,Chrome,,WindowsPC,female,english,,,,Windows,provider,Ottawa,Ontario,null,440.1,20200419,Memory Problems,body
Senior,70,Chrome,,WindowsPC,female,english,,,,Windows,provider,Ottawa,Ontario,null,153.3056487,20200419,Bone,body
Young,22,Safari,,iPhone,male,english,,,,iOS,patient,Ottawa,Ontario,,153.3056487,20200419,Heart,body
Young,36,Safari,,iPhone,male,english,,,,iOS,patient,Ottawa,Ontario,fe39d2ab-4d78-47b2-a088-fb23e411cee6,4.039,20200421,Liver,body
Young,36,Safari,,iPhone,male,english,,,,iOS,patient,Ottawa,Ontario,fe39d2ab-4d78-47b2-a088-fb23e411cee6,153.3056487,20200421,Bowel,body
Young,36,Safari,,iPhone,male,english,,,,iOS,patient,Ottawa,Ontario,fe39d2ab-4d78-47b2-a088-fb23e411cee6,4.46,20200421,Aorta,body
Young,36,Safari,,iPhone,male,english,,,,iOS,patient,Ottawa,Ontario,fe39d2ab-4d78-47b2-a088-fb23e411cee6,153.3056487,20200421,Lungs,body
Senior,70,Chrome,,WindowsPC,female,english,,,,Windows,patient,Ottawa,Ontario,,39.679,20200422,Bone,body
Senior,70,Chrome,,WindowsPC,female,english,,,,Windows,patient,Ottawa,Ontario,,105.717,20200422,Memory Problems,body
Senior,70,Chrome,,WindowsPC,female,english,,,,Windows,patient,Ottawa,Ontario,,9.905,20200422,Substance Abuse,topics
Senior,70,Chrome,,WindowsPC,female,english,,,,Windows,patient,Ottawa,Ontario,,7.514,20200422,Vision,topics
Senior,70,Chrome,,WindowsPC,female,english,,,,Windows,patient,Ottawa,Ontario,,29.199,20200422,Falls in the elderly,topics
Senior,70,Chrome,,WindowsPC,female,english,,,,Windows,patient,Ottawa,Ontario,,21.124,20200422,Bone mineral density:,tests
Senior,70,Chrome,,WindowsPC,female,english,,,,Windows,patient,Ottawa,Ontario,,153.3056487,20200422,Pros or Cons of tests,tests
Young,45,Chrome,,AndroidPhone,male,english,,,,AndroidOS,patient,Ottawa,Ontario,,2.807,20200426,Heart,body
Young,45,Chrome,,AndroidPhone,male,english,,,,AndroidOS,patient,Ottawa,Ontario,,4.45,20200426,Pancreas,body
Young,45,Chrome,,AndroidPhone,male,english,,,,AndroidOS,patient,Ottawa,Ontario,,3.482,20200426,Sexual Organs,body
Young,45,Chrome,,AndroidPhone,male,english,,,,AndroidOS,patient,Ottawa,Ontario,,3.308,20200426,Falls,body
Young,45,Chrome,,AndroidPhone,male,english,,,,AndroidOS,patient,Ottawa,Ontario,,153.3056487,20200426,Immunization,body
Young,25,Safari,,iPhone,female,english,,,,iOS,patient,Ottawa,Ontario,,26.826,20200501,Be active,topics
Young,25,Safari,,iPhone,female,english,,,,iOS,patient,Ottawa,Ontario,,3.26,20200501,Bone health,topics
Young,25,Safari,,iPhone,female,english,,,,iOS,patient,Ottawa,Ontario,,5.262,20200501,Breast Cancer,topics
Young,25,Safari,,iPhone,female,english,,,,iOS,patient,Ottawa,Ontario,,2.822,20200501,Cervical Cancer,topics
Young,25,Safari,,iPhone,female,english,,,,iOS,patient,Ottawa,Ontario,,1.99,20200501,Colorectal Cancer or bowel cancer,topics
Young,25,Safari,,iPhone,female,english,,,,iOS,patient,Ottawa,Ontario,,7.529,20200501,Diabetes type 2,topics
Young,25,Safari,,iPhone,female,english,,,,iOS,patient,Ottawa,Ontario,,48.678,20200501,Family Planning,topics
Young,25,Safari,,iPhone,female,english,,,,iOS,patient,Ottawa,Ontario,,2.993,20200501,Heart disease,topics
Young,25,Safari,,iPhone,female,english,,,,iOS,patient,Ottawa,Ontario,,5.093,20200501,Immunization,topics
Young,25,Safari,,iPhone,female,english,,,,iOS,patient,Ottawa,Ontario,,210.586,20200501,Lung,topics
Young,25,Safari,,iPhone,female,english,,,,iOS,patient,Ottawa,Ontario,,0.83,20200501,Be active,topics
Young,25,Safari,,iPhone,female,english,,,,iOS,patient,Ottawa,Ontario,,153.3056487,20200501,Bone health,topics
Young,25,Safari,,iPhone,female,english,,,,iOS,patient,Ottawa,Ontario,436d9ca5-c1e9-48e0-bc12-10b8d83e3298,7.241,20200501,Heart disease,topics
Young,25,Safari,,iPhone,female,english,,,,iOS,provider,Ottawa,Ontario,436d9ca5-c1e9-48e0-bc12-10b8d83e3298,31.684,20200501,Physical Exam,topics
Young,25,Safari,,iPhone,female,english,,,,iOS,provider,Ottawa,Ontario,436d9ca5-c1e9-48e0-bc12-10b8d83e3298,10.407,20200501,Heart disease,topics
Young,25,Safari,,iPhone,female,english,,,,iOS,provider,Ottawa,Ontario,436d9ca5-c1e9-48e0-bc12-10b8d83e3298,1021.883,20200501,Physical exam,topics
Young,25,Safari,,iPhone,female,english,,,,iOS,provider,Ottawa,Ontario,436d9ca5-c1e9-48e0-bc12-10b8d83e3298,2.495,20200501,Physical exam,topics
Young,25,Safari,,iPhone,female,english,,,,iOS,provider,Ottawa,Ontario,436d9ca5-c1e9-48e0-bc12-10b8d83e3298,8.436,20200501,Physical activity,topics
Young,25,Safari,,iPhone,female,english,,,,iOS,provider,Ottawa,Ontario,436d9ca5-c1e9-48e0-bc12-10b8d83e3298,153.3056487,20200501,Breast Cancer,topics
all ages,Unspecified,Chrome,,WindowsPC,female,english,,,,Windows,provider,Ottawa,Ontario,,13.255,20200501,Sexual Organs,body
all ages,Unspecified,Chrome,,WindowsPC,female,english,,,,Windows,provider,Ottawa,Ontario,,11.843,20200501,Physical Activity,body
all ages,Unspecified,Chrome,,WindowsPC,female,english,,,,Windows,provider,Ottawa,Ontario,,153.3056487,20200501,Immunization,body
Young,30,Chrome,,WindowsPC,female,english,,,,Windows,patient,Ottawa,Ontario,d10011a1-430b-4f12-ac90-a675e49614ac,6.507,20200501,Memory Problems,body
Young,30,Chrome,,WindowsPC,female,english,,,,Windows,patient,Ottawa,Ontario,d10011a1-430b-4f12-ac90-a675e49614ac,6.285,20200501,Falls,body
Young,30,Chrome,,WindowsPC,female,english,,,,Windows,patient,Ottawa,Ontario,d10011a1-430b-4f12-ac90-a675e49614ac,7.936,20200501,Sexual Organs,body
Young,30,Chrome,,WindowsPC,female,english,,,,Windows,patient,Ottawa,Ontario,d10011a1-430b-4f12-ac90-a675e49614ac,153.3056487,20200501,Physical Exam,body
Young,25,Chrome,,WindowsPC,female,english,,,,Windows,patient,Ottawa,Ontario,,0.687,20200501,Be active,topics
Young,25,Chrome,,WindowsPC,female,english,,,,Windows,patient,Ottawa,Ontario,,1.791,20200501,Be active,topics
Young,25,Chrome,,WindowsPC,female,english,,,,Windows,patient,Ottawa,Ontario,,1.241,20200501,COVID-19,topics
Young,25,Chrome,,WindowsPC,female,english,,,,Windows,patient,Ottawa,Ontario,,4.742,20200501,COVID-19,topics
Young,25,Chrome,,WindowsPC,female,english,,,,Windows,patient,Ottawa,Ontario,,1.576,20200501,COVID-19,topics
Young,25,Chrome,,WindowsPC,female,english,,,,Windows,patient,Ottawa,Ontario,,1.494,20200501,COVID-19,topics
Young,25,Chrome,,WindowsPC,female,english,,,,Windows,patient,Ottawa,Ontario,,3.662,20200501,COVID-19,topics
Young,25,Chrome,,WindowsPC,female,english,,,,Windows,patient,Ottawa,Ontario,,0.496,20200501,COVID-19,topics
Young,25,Chrome,,WindowsPC,female,english,,,,Windows,patient,Ottawa,Ontario,,4.508,20200501,COVID-19,topics
Young,25,Chrome,,WindowsPC,female,english,,,,Windows,patient,Ottawa,Ontario,,153.3056487,20200501,COVID-19,topics
Young,25,Chrome,,WindowsPC,male,english,,,,Windows,provider,Ottawa,Ontario,179cd6f9-10d8-4b1d-9ca1-36bd89c759dc,153.3056487,20200501,COVID-19,topics
Young,25,Chrome,,WindowsPC,male,english,,,,Windows,provider,Ottawa,Ontario,179cd6f9-10d8-4b1d-9ca1-36bd89c759dc,3.088,20200501,Heart,body
Young,25,Chrome,,WindowsPC,male,english,,,,Windows,provider,Ottawa,Ontario,179cd6f9-10d8-4b1d-9ca1-36bd89c759dc,2.228,20200501,Aorta,body
Young,25,Chrome,,WindowsPC,male,english,,,,Windows,provider,Ottawa,Ontario,179cd6f9-10d8-4b1d-9ca1-36bd89c759dc,4.679,20200501,Lungs,body
Young,25,Chrome,,WindowsPC,male,english,,,,Windows,provider,Ottawa,Ontario,179cd6f9-10d8-4b1d-9ca1-36bd89c759dc,2.112,20200501,Liver,body
Young,25,Chrome,,WindowsPC,male,english,,,,Windows,provider,Ottawa,Ontario,179cd6f9-10d8-4b1d-9ca1-36bd89c759dc,2.108,20200501,Stomach,body
Young,25,Chrome,,WindowsPC,male,english,,,,Windows,provider,Ottawa,Ontario,179cd6f9-10d8-4b1d-9ca1-36bd89c759dc,7.246,20200501,Pancreas,body
Young,25,Chrome,,WindowsPC,male,english,,,,Windows,provider,Ottawa,Ontario,179cd6f9-10d8-4b1d-9ca1-36bd89c759dc,0.795,20200501,Heart disease,topics
Young,25,Chrome,,WindowsPC,male,english,,,,Windows,provider,Ottawa,Ontario,179cd6f9-10d8-4b1d-9ca1-36bd89c759dc,1.131,20200501,Heart disease,topics
Young,25,Chrome,,WindowsPC,male,english,,,,Windows,provider,Ottawa,Ontario,179cd6f9-10d8-4b1d-9ca1-36bd89c759dc,1.114,20200501,Colorectal Cancer or bowel cancer,topics
Senior,67,Chrome,,WindowsPC,male,english,,,,Windows,provider,Ottawa,Ontario,179cd6f9-10d8-4b1d-9ca1-36bd89c759dc,59.588,20200501,Colorectal Cancer or bowel cancer,topics
Senior,67,Chrome,,WindowsPC,male,english,,,,Windows,provider,Ottawa,Ontario,179cd6f9-10d8-4b1d-9ca1-36bd89c759dc,1.106,20200501,Abdominal Aortic Aneurysm Screen1,topics
Senior,67,Chrome,,WindowsPC,male,english,,,,Windows,provider,Ottawa,Ontario,179cd6f9-10d8-4b1d-9ca1-36bd89c759dc,0.433,20200501,Abdominal Aortic Aneurysm Screen1,topics
Senior,67,Chrome,,WindowsPC,male,english,,,,Windows,provider,Ottawa,Ontario,179cd6f9-10d8-4b1d-9ca1-36bd89c759dc,1.744,20200501,Abdominal Aortic Aneurysm Screen1,topics
Senior,67,Chrome,,WindowsPC,male,english,,,,Windows,provider,Ottawa,Ontario,179cd6f9-10d8-4b1d-9ca1-36bd89c759dc,153.3056487,20200501,Abdominal Aortic Aneurysm Screen1,topics
Senior,67,Chrome,,WindowsPC,female,english,,,,Windows,patient,Ottawa,Ontario,179cd6f9-10d8-4b1d-9ca1-36bd89c759dc,153.3056487,20200501,Covid,body
Senior,67,Chrome,,WindowsPC,female,english,,,,Windows,patient,Ottawa,Ontario,179cd6f9-10d8-4b1d-9ca1-36bd89c759dc,19.527,20200501,Covid,body
Senior,67,Chrome,,WindowsPC,female,english,,,,Windows,provider,Ottawa,Ontario,179cd6f9-10d8-4b1d-9ca1-36bd89c759dc,16.797,20200501,Covid,body
Senior,67,Chrome,,WindowsPC,female,english,,,,Windows,provider,Ottawa,Ontario,179cd6f9-10d8-4b1d-9ca1-36bd89c759dc,153.3056487,20200501,Covid,body
Middle,60,Safari,,iPhone,female,english,,,,iOS,patient,Ottawa,Ontario,,153.3056487,20200502,Heart,body
Middle,62,Safari,,iPhone,female,french,,,,iOS,patient,Ottawa,Ontario,,153.3056487,20200502,C��ur,body
Young,22,Safari,,iPhone,female,french,,,,iOS,patient,Ottawa,Ontario,2bd64625-c423-4500-b0df-c52bfee73ee1,3510.367,20200502,Colon,body
Middle,58,Safari,,iPhone,male,french,,,,iOS,patient,Ottawa,Ontario,2bd64625-c423-4500-b0df-c52bfee73ee1,342.643,20200502,Colon,body
Middle,58,Safari,,iPhone,male,french,,,,iOS,patient,Ottawa,Ontario,2bd64625-c423-4500-b0df-c52bfee73ee1,20.447,20200502,Examen physique,body
Middle,58,Safari,,iPhone,male,french,,,,iOS,patient,Ottawa,Ontario,2bd64625-c423-4500-b0df-c52bfee73ee1,153.3056487,20200502,C��ur,body
Middle,55,Safari,,iPhone,female,english,,,,iOS,provider,Ottawa,Ontario,73740551-d265-40b1-a6cf-1dd56fe23d7f,153.3056487,20200503,Heart,body
Middle,55,Safari,,iPhone,female,french,,,,iOS,provider,Ottawa,Ontario,73740551-d265-40b1-a6cf-1dd56fe23d7f,5.215,20200503,C��ur,body
Middle,55,Safari,,iPhone,female,french,,,,iOS,provider,Ottawa,Ontario,73740551-d265-40b1-a6cf-1dd56fe23d7f,153.3056487,20200503,C��ur,body
all ages,Unspecified,Safari,,iPhone,female,english,,,,iOS,provider,Ottawa,Ontario,73740551-d265-40b1-a6cf-1dd56fe23d7f,264.695,20200503,Immunization,body
all ages,Unspecified,Safari,,iPhone,female,english,,,,iOS,provider,Ottawa,Ontario,73740551-d265-40b1-a6cf-1dd56fe23d7f,153.3056487,20200503,Eyes,body
Young,25,Chrome,,WindowsPC,female,french,,,,Windows,patient,Ottawa,Ontario,,0.869,20200503,Analyse de la glyc̩mie,tests
Young,25,Chrome,,WindowsPC,female,french,,,,Windows,patient,Ottawa,Ontario,,1.439,20200503,Avantages or inconv̩nients des tests,tests
Young,25,Chrome,,WindowsPC,female,french,,,,Windows,patient,Ottawa,Ontario,,29.722,20200503,Activit̩ sexuelle,topics
Young,25,Chrome,,WindowsPC,female,french,,,,Windows,patient,Ottawa,Ontario,,1.442,20200503,Activit̩ sexuelle,topics
Young,25,Chrome,,WindowsPC,female,french,,,,Windows,patient,Ottawa,Ontario,,3.793,20200503,�?tre actif,topics
Young,25,Chrome,,WindowsPC,female,french,,,,Windows,patient,Ottawa,Ontario,,1.097,20200503,Examen physique,topics
Young,25,Chrome,,WindowsPC,female,french,,,,Windows,patient,Ottawa,Ontario,,0.597,20200503,Exposition au soleil,topics
Young,25,Chrome,,WindowsPC,female,french,,,,Windows,provider,Ottawa,Ontario,,3.906,20200503,Maladie cardiaque,topics
Young,25,Chrome,,WindowsPC,female,french,,,,Windows,provider,Ottawa,Ontario,,0.763,20200503,Activit̩ physique,topics
Young,25,Chrome,,WindowsPC,female,french,,,,Windows,provider,Ottawa,Ontario,,7.481,20200503,Activit̩ physique,topics
Young,25,Chrome,,WindowsPC,female,french,,,,Windows,provider,Ottawa,Ontario,,0.529,20200503,Activit̩ physique,topics
all ages,Unspecified,Chrome,,WindowsPC,female,french,,,,Windows,provider,Ottawa,Ontario,,5.119,20200503,Activit̩ physique,topics
all ages,Unspecified,Chrome,,WindowsPC,female,french,,,,Windows,provider,Ottawa,Ontario,,1.644,20200503,Cancer du sein,topics
all ages,Unspecified,Chrome,,WindowsPC,female,french,,,,Windows,provider,Ottawa,Ontario,,0.921,20200503,Chutes chez les personnes ̢g̩es,topics
all ages,Unspecified,Chrome,,WindowsPC,female,french,,,,Windows,provider,Ottawa,Ontario,,0.934,20200503,Diab̬te de type��2,topics
all ages,Unspecified,Chrome,,WindowsPC,female,french,,,,Windows,provider,Ottawa,Ontario,,153.3056487,20200503,Examen physique,topics
Young,20,Chrome,,WindowsPC,male,english,,,,Windows,patient,Ottawa,Ontario,6e752423-255f-46f3-9a1e-df81c87df418,218.695,20200503,Family Planning,topics
Young,20,Chrome,,WindowsPC,male,english,,,,Windows,provider,Ottawa,Ontario,6e752423-255f-46f3-9a1e-df81c87df418,9.67,20200503,Heart disease,topics
Young,20,Chrome,,WindowsPC,male,english,,,,Windows,provider,Ottawa,Ontario,6e752423-255f-46f3-9a1e-df81c87df418,1.891,20200503,Heart disease,topics
Young,20,Chrome,,WindowsPC,male,english,,,,Windows,provider,Ottawa,Ontario,6e752423-255f-46f3-9a1e-df81c87df418,20.498,20200503,Immunization,topics
Young,20,Chrome,,WindowsPC,male,english,,,,Windows,provider,Ottawa,Ontario,6e752423-255f-46f3-9a1e-df81c87df418,1.256,20200503,Memory problems  or dementia,topics
Young,20,Chrome,,WindowsPC,male,english,,,,Windows,provider,Ottawa,Ontario,6e752423-255f-46f3-9a1e-df81c87df418,5.746,20200503,Memory problems  or dementia,topics
Young,20,Chrome,,WindowsPC,female,english,,,,Windows,patient,Ottawa,Ontario,6e752423-255f-46f3-9a1e-df81c87df418,1166.778,20200503,Lung,topics
Young,20,Chrome,,WindowsPC,male,english,,,,Windows,patient,Ottawa,Ontario,6e752423-255f-46f3-9a1e-df81c87df418,23.046,20200503,Cervical Cancer,topics
Young,20,Chrome,,WindowsPC,male,english,,,,Windows,patient,Ottawa,Ontario,6e752423-255f-46f3-9a1e-df81c87df418,0.49,20200503,Heart disease,topics
Young,20,Chrome,,WindowsPC,male,english,,,,Windows,provider,Ottawa,Ontario,6e752423-255f-46f3-9a1e-df81c87df418,22.355,20200503,Heart disease,topics
Young,20,Chrome,,WindowsPC,male,english,,,,Windows,provider,Ottawa,Ontario,6e752423-255f-46f3-9a1e-df81c87df418,1.044,20200503,lung,topics
Young,20,Chrome,,WindowsPC,male,english,,,,Windows,provider,Ottawa,Ontario,6e752423-255f-46f3-9a1e-df81c87df418,2247.209,20200503,Lung,topics
Senior,85,Chrome,,WindowsPC,female,french,,,,Windows,provider,Ottawa,Ontario,6e752423-255f-46f3-9a1e-df81c87df418,0.479,20200503,Activit̩ physique,topics
Senior,85,Chrome,,WindowsPC,female,french,,,,Windows,provider,Ottawa,Ontario,6e752423-255f-46f3-9a1e-df81c87df418,1517.679,20200503,Activit̩ physique,topics
Young,20,Chrome,,WindowsPC,male,english,,,,Windows,provider,Ottawa,Ontario,6e752423-255f-46f3-9a1e-df81c87df418,1.352,20200503,Lung,topics
all ages,Unspecified,Chrome,,WindowsPC,male,english,,,,Windows,provider,Ottawa,Ontario,6e752423-255f-46f3-9a1e-df81c87df418,15.646,20200503,lung,topics
all ages,Unspecified,Chrome,,WindowsPC,male,english,,,,Windows,provider,Ottawa,Ontario,6e752423-255f-46f3-9a1e-df81c87df418,153.3056487,20200503,Heart disease,topics
Senior,85,Chrome,,WindowsPC,female,french,,,,Windows,provider,Ottawa,Ontario,6e752423-255f-46f3-9a1e-df81c87df418,0.726,20200503,Examen physique,topics
Senior,85,Chrome,,WindowsPC,female,french,,,,Windows,provider,Ottawa,Ontario,6e752423-255f-46f3-9a1e-df81c87df418,0.778,20200503,Examen physique,topics
Senior,85,Chrome,,WindowsPC,female,french,,,,Windows,provider,Ottawa,Ontario,6e752423-255f-46f3-9a1e-df81c87df418,0.753,20200503,Diab̬te de type��2,topics
Senior,85,Chrome,,WindowsPC,female,french,,,,Windows,provider,Ottawa,Ontario,6e752423-255f-46f3-9a1e-df81c87df418,0.353,20200503,Chutes chez les personnes ̢g̩es,topics
Senior,85,Chrome,,WindowsPC,female,french,,,,Windows,provider,Ottawa,Ontario,6e752423-255f-46f3-9a1e-df81c87df418,0.353,20200503,Cancer du sein,topics
Senior,85,Chrome,,WindowsPC,female,french,,,,Windows,provider,Ottawa,Ontario,6e752423-255f-46f3-9a1e-df81c87df418,0.556,20200503,Cancer du col de l�۪ut̩rus,topics
Senior,85,Chrome,,WindowsPC,female,french,,,,Windows,provider,Ottawa,Ontario,6e752423-255f-46f3-9a1e-df81c87df418,0.901,20200503,Alimentation,topics
Senior,85,Chrome,,WindowsPC,female,french,,,,Windows,provider,Ottawa,Ontario,6e752423-255f-46f3-9a1e-df81c87df418,0.319,20200503,Activit̩ sexuelle,topics
Senior,85,Chrome,,WindowsPC,female,french,,,,Windows,provider,Ottawa,Ontario,6e752423-255f-46f3-9a1e-df81c87df418,3.011,20200503,Activit̩ physique,topics
Senior,85,Chrome,,WindowsPC,female,french,,,,Windows,provider,Ottawa,Ontario,6e752423-255f-46f3-9a1e-df81c87df418,0.445,20200503,Vaccination,topics
Senior,85,Chrome,,WindowsPC,female,french,,,,Windows,provider,Ottawa,Ontario,6e752423-255f-46f3-9a1e-df81c87df418,0.394,20200503,Troubles de la m̩moire or d̩mence,topics
Senior,85,Chrome,,WindowsPC,female,french,,,,Windows,provider,Ottawa,Ontario,6e752423-255f-46f3-9a1e-df81c87df418,0.487,20200503,Toxicomanie,topics
Senior,85,Chrome,,WindowsPC,female,french,,,,Windows,provider,Ottawa,Ontario,6e752423-255f-46f3-9a1e-df81c87df418,1.078,20200503,Sant̩ des os,topics
Senior,85,Chrome,,WindowsPC,female,french,,,,Windows,provider,Ottawa,Ontario,6e752423-255f-46f3-9a1e-df81c87df418,40.737,20200503,Sant̩ des os,topics
Senior,85,Chrome,,WindowsPC,female,french,,,,Windows,provider,Ottawa,Ontario,6e752423-255f-46f3-9a1e-df81c87df418,0.663,20200503,Activit̩ physique,topics
Senior,85,Chrome,,WindowsPC,female,french,,,,Windows,provider,Ottawa,Ontario,6e752423-255f-46f3-9a1e-df81c87df418,0.688,20200503,Activit̩ sexuelle,topics
Senior,85,Chrome,,WindowsPC,female,french,,,,Windows,provider,Ottawa,Ontario,6e752423-255f-46f3-9a1e-df81c87df418,0.56,20200503,Alimentation,topics
Senior,85,Chrome,,WindowsPC,female,french,,,,Windows,provider,Ottawa,Ontario,6e752423-255f-46f3-9a1e-df81c87df418,7.178,20200503,Cancer du col de l�۪ut̩rus,topics
Senior,85,Chrome,,WindowsPC,female,french,,,,Windows,provider,Ottawa,Ontario,6e752423-255f-46f3-9a1e-df81c87df418,1.134,20200503,Cancer du sein,topics
Senior,85,Chrome,,WindowsPC,female,french,,,,Windows,provider,Ottawa,Ontario,6e752423-255f-46f3-9a1e-df81c87df418,0.61,20200503,Diab̬te de type��2,topics
Senior,85,Chrome,,WindowsPC,female,french,,,,Windows,provider,Ottawa,Ontario,6e752423-255f-46f3-9a1e-df81c87df418,16.357,20200503,Chutes chez les personnes ̢g̩es,topics
Senior,85,Chrome,,WindowsPC,female,french,,,,Windows,provider,Ottawa,Ontario,6e752423-255f-46f3-9a1e-df81c87df418,1.257,20200503,Vaccination,topics
Senior,85,Chrome,,WindowsPC,female,french,,,,Windows,provider,Ottawa,Ontario,6e752423-255f-46f3-9a1e-df81c87df418,0.841,20200503,Vision,topics
Senior,85,Chrome,,WindowsPC,female,french,,,,Windows,provider,Ottawa,Ontario,6e752423-255f-46f3-9a1e-df81c87df418,153.3056487,20200503,Vision,topics
all ages,Unspecified,Chrome,,WindowsPC,female,english,,,,Windows,provider,Ottawa,Ontario,6e752423-255f-46f3-9a1e-df81c87df418,153.3056487,20200503,Substance Abuse,topics
all ages,Unspecified,Chrome,,WindowsPC,female,english,,,,Windows,provider,Ottawa,Ontario,6e752423-255f-46f3-9a1e-df81c87df418,0.8,20200503,Pap test,tests
