age,browser,city,date,device,gender,item,language,navigation,os,pageviewtime,region,role,user
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","COVID-19","english","topics","Windows",0.649,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","COVID-19","english","topics","Windows",0.664,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","COVID-19","english","topics","Windows",3.318,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","Covid-19","english","body","Windows",10.991,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","COVID-19","english","topics","Windows",27.836,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","Covid-19","english","body","Windows",98.373,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","COVID-19","english","topics","Windows","","Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","COVID-19","english","topics","Windows","","Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","Colorectal Cancer","english","topics","Windows",1.346,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","Colorectal Cancer","english","topics","Windows",0.636,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","Colorectal Cancer","english","topics","Windows","","Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","Covid-19","english","body","Windows",5.586,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","Covid-19","english","body","Windows","","Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","COVID-19","english","topics","Windows","","Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","Covid-19","english","body","Windows",20.022,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","Memory Problems","english","body","Windows",7.975,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","Memory Problems","english","body","Windows",173.548,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","Covid-19","english","body","Windows","","Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","Covid-19","english","body","Windows",0.107,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","Covid-19","english","body","Windows",1.992,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","Covid-19","english","body","Windows","","Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","Covid-19","english","body","Windows",269.509,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","Be active","english","topics","Windows",11.256,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","Be active","english","topics","Windows","","Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","Covid-19","english","body","Windows",9.236,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","Covid-19","english","body","Windows",414.171,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","Covid-19","english","body","Windows","","Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"18","Chrome","Ottawa","20200801","WindowsPC","female","COVID-19","english","topics","Windows","","Ontario","patient","e5612fb0-1c9d-4b63-94f0-86a4bfa033d9"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","Bone health","english","topics","Windows","","Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","Covid-19","english","body","Windows","","Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","COVID-19","english","topics","Windows","","Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","COVID-19","english","topics","Windows","","Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","COVID-19","english","topics","Windows","","Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","COVID-19","english","topics","Windows","","Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","COVID-19","english","topics","Windows","","Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"18","Chrome","Ottawa","20200801","WindowsPC","female","COVID-19","english","topics","Windows","","Ontario","patient","e5612fb0-1c9d-4b63-94f0-86a4bfa033d9"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","COVID-19","english","topics","Windows","","Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","COVID-19","english","topics","Windows","","Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","COVID-19","english","topics","Windows","","Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","COVID-19","english","topics","Windows",4.032,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","COVID-19","english","topics","Windows",2.204,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","COVID-19","english","topics","Windows",2.664,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","COVID-19","english","topics","Windows","","Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"30","Chrome","Ottawa","20200801","WindowsPC","transgender","Lungs","english","body","Windows",4.138,"Ontario","patient",""
"30","Chrome","Ottawa","20200801","WindowsPC","transgender","Breast","english","body","Windows",0.889,"Ontario","patient",""
"30","Chrome","Ottawa","20200801","WindowsPC","transgender","Breast","english","body","Windows",2.305,"Ontario","patient",""
"30","Chrome","Ottawa","20200801","WindowsPC","transgender","Breast","english","body","Windows","","Ontario","patient",""
"30","Chrome","Ottawa","20200801","WindowsPC","transgender","Breast","english","body","Windows",0.777,"Ontario","patient","abbbb85a-f971-473b-8130-361928fa61b3"
"30","Chrome","Ottawa","20200801","WindowsPC","transgender","Breast","english","body","Windows",1.112,"Ontario","patient","abbbb85a-f971-473b-8130-361928fa61b3"
"30","Chrome","Ottawa","20200801","WindowsPC","transgender","Lungs","english","body","Windows",0.696,"Ontario","patient","abbbb85a-f971-473b-8130-361928fa61b3"
"30","Chrome","Ottawa","20200801","WindowsPC","transgender","Breast","english","body","Windows",89.462,"Ontario","patient","abbbb85a-f971-473b-8130-361928fa61b3"
"30","Chrome","Ottawa","20200801","WindowsPC","transgender","Uterus","english","body","Windows",20.823,"Ontario","patient","abbbb85a-f971-473b-8130-361928fa61b3"
"30","Chrome","Ottawa","20200801","WindowsPC","transgender","Sexual Organs","english","body","Windows",9.848,"Ontario","patient","abbbb85a-f971-473b-8130-361928fa61b3"
"30","Chrome","Ottawa","20200801","WindowsPC","transgender","Heart","english","body","Windows",0.807,"Ontario","patient","abbbb85a-f971-473b-8130-361928fa61b3"
"30","Chrome","Ottawa","20200801","WindowsPC","transgender","Heart","english","body","Windows",1.913,"Ontario","patient","abbbb85a-f971-473b-8130-361928fa61b3"
"30","Chrome","Ottawa","20200801","WindowsPC","transgender","Heart","english","body","Windows",3.336,"Ontario","patient","abbbb85a-f971-473b-8130-361928fa61b3"
"30","Chrome","Ottawa","20200801","WindowsPC","transgender","Sexual Organs","english","body","Windows",0.544,"Ontario","patient","abbbb85a-f971-473b-8130-361928fa61b3"
"30","Chrome","Ottawa","20200801","WindowsPC","transgender","Sexual Organs","english","body","Windows",0.158,"Ontario","patient","abbbb85a-f971-473b-8130-361928fa61b3"
"30","Chrome","Ottawa","20200801","WindowsPC","transgender","Sexual Organs","english","body","Windows",3.789,"Ontario","patient","abbbb85a-f971-473b-8130-361928fa61b3"
"30","Chrome","Ottawa","20200801","WindowsPC","transgender","Heart","english","body","Windows",24.745,"Ontario","patient","abbbb85a-f971-473b-8130-361928fa61b3"
"30","Chrome","Ottawa","20200801","WindowsPC","transgender","Sexual Organs","english","body","Windows",11.648,"Ontario","patient","abbbb85a-f971-473b-8130-361928fa61b3"
"30","Chrome","Ottawa","20200801","WindowsPC","transgender","Bone","english","body","Windows",0.72,"Ontario","patient","abbbb85a-f971-473b-8130-361928fa61b3"
"30","Chrome","Ottawa","20200801","WindowsPC","transgender","Bone","english","body","Windows",1.873,"Ontario","patient","abbbb85a-f971-473b-8130-361928fa61b3"
"30","Chrome","Ottawa","20200801","WindowsPC","transgender","Bone","english","body","Windows",57.685,"Ontario","patient","abbbb85a-f971-473b-8130-361928fa61b3"
"30","Chrome","Ottawa","20200801","WindowsPC","transgender","Bowel","english","body","Windows",2.618,"Ontario","patient","abbbb85a-f971-473b-8130-361928fa61b3"
"30","Chrome","Ottawa","20200801","WindowsPC","transgender","Sun Exposure","english","body","Windows",14.334,"Ontario","provider","abbbb85a-f971-473b-8130-361928fa61b3"
"30","Chrome","Ottawa","20200801","WindowsPC","transgender","Breast","english","body","Windows",0.923,"Ontario","provider","abbbb85a-f971-473b-8130-361928fa61b3"
"30","Chrome","Ottawa","20200801","WindowsPC","transgender","Breast","english","body","Windows",1.806,"Ontario","provider","abbbb85a-f971-473b-8130-361928fa61b3"
"30","Chrome","Ottawa","20200801","WindowsPC","transgender","Breast","english","body","Windows",7.418,"Ontario","provider","abbbb85a-f971-473b-8130-361928fa61b3"
"30","Chrome","Ottawa","20200801","WindowsPC","transgender","Breast","english","body","Windows",0.66,"Ontario","provider","abbbb85a-f971-473b-8130-361928fa61b3"
"30","Chrome","Ottawa","20200801","WindowsPC","transgender","Breast","english","body","Windows",2.016,"Ontario","provider","abbbb85a-f971-473b-8130-361928fa61b3"
"30","Chrome","Ottawa","20200801","WindowsPC","transgender","Breast","english","body","Windows",27.637,"Ontario","provider","abbbb85a-f971-473b-8130-361928fa61b3"
"30","Chrome","Ottawa","20200801","WindowsPC","transgender","Heart","english","body","Windows",9.105,"Ontario","provider","abbbb85a-f971-473b-8130-361928fa61b3"
"30","Chrome","Ottawa","20200801","WindowsPC","transgender","Uterus","english","body","Windows",0.761,"Ontario","provider","abbbb85a-f971-473b-8130-361928fa61b3"
"30","Chrome","Ottawa","20200801","WindowsPC","transgender","Ovary","english","body","Windows",1.932,"Ontario","provider","abbbb85a-f971-473b-8130-361928fa61b3"
"30","Chrome","Ottawa","20200801","WindowsPC","transgender","Ovary","english","body","Windows",14.354,"Ontario","provider","abbbb85a-f971-473b-8130-361928fa61b3"
"30","Chrome","Ottawa","20200801","WindowsPC","transgender","Bone","english","body","Windows",0.786,"Ontario","provider","abbbb85a-f971-473b-8130-361928fa61b3"
"30","Chrome","Ottawa","20200801","WindowsPC","transgender","Bone","english","body","Windows",1.843,"Ontario","provider","abbbb85a-f971-473b-8130-361928fa61b3"
"30","Chrome","Ottawa","20200801","WindowsPC","transgender","Bone","english","body","Windows",6.192,"Ontario","provider","abbbb85a-f971-473b-8130-361928fa61b3"
"30","Chrome","Ottawa","20200801","WindowsPC","nonbinary","Sexual Organs","english","body","Windows",22.784,"Ontario","provider","abbbb85a-f971-473b-8130-361928fa61b3"
"30","Chrome","Ottawa","20200801","WindowsPC","nonbinary","Lungs","english","body","Windows",0.847,"Ontario","provider","abbbb85a-f971-473b-8130-361928fa61b3"
"30","Chrome","Ottawa","20200801","WindowsPC","nonbinary","Breast","english","body","Windows",1.853,"Ontario","provider","abbbb85a-f971-473b-8130-361928fa61b3"
"30","Chrome","Ottawa","20200801","WindowsPC","nonbinary","Breast","english","body","Windows",5.894,"Ontario","provider","abbbb85a-f971-473b-8130-361928fa61b3"
"30","Chrome","Ottawa","20200801","WindowsPC","nonbinary","Heart","english","body","Windows",6.009,"Ontario","provider","abbbb85a-f971-473b-8130-361928fa61b3"
"30","Chrome","Ottawa","20200801","WindowsPC","nonbinary","Ovary","english","body","Windows",0.512,"Ontario","provider","abbbb85a-f971-473b-8130-361928fa61b3"
"30","Chrome","Ottawa","20200801","WindowsPC","nonbinary","Ovary","english","body","Windows",1.158,"Ontario","provider","abbbb85a-f971-473b-8130-361928fa61b3"
"30","Chrome","Ottawa","20200801","WindowsPC","nonbinary","Bowel","english","body","Windows",0.755,"Ontario","provider","abbbb85a-f971-473b-8130-361928fa61b3"
"30","Chrome","Ottawa","20200801","WindowsPC","nonbinary","Ovary","english","body","Windows",2.288,"Ontario","provider","abbbb85a-f971-473b-8130-361928fa61b3"
"30","Chrome","Ottawa","20200801","WindowsPC","nonbinary","Ovary","english","body","Windows",4.357,"Ontario","provider","abbbb85a-f971-473b-8130-361928fa61b3"
"30","Chrome","Ottawa","20200801","WindowsPC","nonbinary","Bone","english","body","Windows",0.48,"Ontario","provider","abbbb85a-f971-473b-8130-361928fa61b3"
"30","Chrome","Ottawa","20200801","WindowsPC","nonbinary","Bone","english","body","Windows",1.765,"Ontario","provider","abbbb85a-f971-473b-8130-361928fa61b3"
"30","Chrome","Ottawa","20200801","WindowsPC","nonbinary","Bone","english","body","Windows","","Ontario","provider","abbbb85a-f971-473b-8130-361928fa61b3"
"43","Safari","Ottawa","20200801","Mac","female","Memory Problems","english","body","MacOS","","Ontario","patient","50e1ce70-d596-4a23-9860-7526dd1c1491"
"80","Chrome","Ottawa","20200802","WindowsPC","transgender","COVID-19","english","topics","Windows",0.345,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200802","WindowsPC","transgender","COVID-19","english","topics","Windows",0.628,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200802","WindowsPC","transgender","COVID-19","english","topics","Windows",2.969,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200802","WindowsPC","transgender","Vision","english","topics","Windows",1.596,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200802","WindowsPC","transgender","Vitamins, Minerals","english","topics","Windows",1.734,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200802","WindowsPC","transgender","Vitamins, Minerals","english","topics","Windows",0.711,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200802","WindowsPC","transgender","Vitamins, Minerals","english","topics","Windows",1.448,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200802","WindowsPC","transgender","Vitamins, Minerals","english","topics","Windows",2.028,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200802","WindowsPC","transgender","Vitamins, Minerals","english","topics","Windows",4.141,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200802","WindowsPC","transgender","COVID-19","english","topics","Windows",1.454,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200802","WindowsPC","transgender","COVID-19","english","topics","Windows",6.713,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200802","WindowsPC","transgender","COVID-19","english","topics","Windows",0.895,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200802","WindowsPC","transgender","COVID-19","english","topics","Windows",134.291,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200802","WindowsPC","transgender","COVID-19","english","topics","Windows",11.752,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200802","WindowsPC","transgender","COVID-19","english","topics","Windows",4.336,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200802","WindowsPC","transgender","COVID-19","english","topics","Windows",0.418,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200802","WindowsPC","transgender","COVID-19","english","topics","Windows",0.649,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200802","WindowsPC","transgender","COVID-19","english","topics","Windows",2.047,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200802","WindowsPC","transgender","Covid-19","english","body","Windows","","Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200802","WindowsPC","transgender","COVID-19","english","topics","Windows",3.761,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200802","WindowsPC","transgender","COVID-19","english","topics","Windows",1.573,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200802","WindowsPC","transgender","COVID-19","english","topics","Windows",0.527,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200802","WindowsPC","transgender","COVID-19","english","topics","Windows",0.64,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200802","WindowsPC","transgender","COVID-19","english","topics","Windows","","Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200802","WindowsPC","transgender","Covid-19","english","body","Windows",7.109,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200802","WindowsPC","transgender","Lung","english","topics","Windows","","Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200802","WindowsPC","transgender","Covid-19","english","body","Windows",91.818,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200802","WindowsPC","transgender","COVID-19","english","topics","Windows","","Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200802","WindowsPC","transgender","Covid-19","english","body","Windows",5.057,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200802","WindowsPC","female","Memory Problems","english","body","Windows",27.913,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200802","WindowsPC","female","COVID-19","english","topics","Windows","","Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"33","Chrome","Ottawa","20200802","WindowsPC","nonbinary","COVID-19","english","topics","Windows",1.96,"Ontario","patient",""
"33","Chrome","Ottawa","20200802","WindowsPC","nonbinary","COVID-19","english","topics","Windows",0.681,"Ontario","patient",""
"33","Chrome","Ottawa","20200802","WindowsPC","nonbinary","COVID-19","english","topics","Windows",2.051,"Ontario","patient",""
"33","Chrome","Ottawa","20200802","WindowsPC","nonbinary","COVID-19","english","topics","Windows",0.828,"Ontario","patient",""
"33","Chrome","Ottawa","20200802","WindowsPC","nonbinary","COVID-19","english","topics","Windows",0.877,"Ontario","patient",""
"33","Chrome","Ottawa","20200802","WindowsPC","nonbinary","COVID-19","english","topics","Windows",0.831,"Ontario","patient",""
"33","Chrome","Ottawa","20200802","WindowsPC","nonbinary","COVID-19","english","topics","Windows",1.319,"Ontario","patient",""
"33","Chrome","Ottawa","20200802","WindowsPC","nonbinary","COVID-19","english","topics","Windows",0.791,"Ontario","patient",""
"33","Chrome","Ottawa","20200802","WindowsPC","nonbinary","COVID-19","english","topics","Windows",176.59,"Ontario","patient",""
"33","Chrome","Ottawa","20200802","WindowsPC","nonbinary","COVID-19","english","topics","Windows",1.703,"Ontario","patient",""
"33","Chrome","Ottawa","20200802","WindowsPC","nonbinary","COVID-19","english","topics","Windows",19.731,"Ontario","patient",""
"33","Chrome","Ottawa","20200802","WindowsPC","nonbinary","Covid-19","english","body","Windows",1714.581,"Ontario","patient",""
"80","Chrome","Ottawa","20200802","WindowsPC","female","COVID-19","english","topics","Windows",0.849,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200802","WindowsPC","female","COVID-19","english","topics","Windows","","Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"33","Chrome","Ottawa","20200802","WindowsPC","nonbinary","COVID-19","english","topics","Windows",5.965,"Ontario","patient",""
"33","Chrome","Ottawa","20200802","WindowsPC","nonbinary","COVID-19","english","topics","Windows",0.881,"Ontario","patient",""
"33","Chrome","Ottawa","20200802","WindowsPC","nonbinary","COVID-19","english","topics","Windows",2.245,"Ontario","patient",""
"33","Chrome","Ottawa","20200802","WindowsPC","nonbinary","COVID-19","english","topics","Windows",0.711,"Ontario","patient",""
"33","Chrome","Ottawa","20200802","WindowsPC","nonbinary","COVID-19","english","topics","Windows",820.928,"Ontario","patient",""
"33","Chrome","Ottawa","20200802","WindowsPC","nonbinary","Be active","english","topics","Windows",1.878,"Ontario","patient",""
"33","Chrome","Ottawa","20200802","WindowsPC","nonbinary","Bone health","english","topics","Windows",2.436,"Ontario","patient",""
"33","Chrome","Ottawa","20200802","WindowsPC","nonbinary","Breast Cancer","english","topics","Windows",5.986,"Ontario","patient",""
"33","Chrome","Ottawa","20200802","WindowsPC","nonbinary","Cervical Cancer","english","topics","Windows",3.708,"Ontario","patient",""
